date,chlor_a,status,source_file
2019-01-05,3.407973051,filled,ST.nc
2019-01-06,2.981126308,filled,ST.nc
2019-01-07,2.513353586,filled,ST.nc
2019-01-08,4.11973238,filled,ST.nc
2019-01-09,3.155861855,filled,ST.nc
2019-01-10,4.428307533,filled,ST.nc
2019-01-11,4.496105194,filled,ST.nc
2019-01-12,6.061019897,filled,ST.nc
2019-01-13,7.408614635,filled,ST.nc
2019-01-14,3.936779022,filled,ST.nc
2019-01-15,4.142721653,filled,ST.nc
2019-01-16,3.157473564,filled,ST.nc
2019-01-17,,filled,ST.nc
2019-01-18,3.524929047,filled,ST.nc
2019-01-19,4.314316273,filled,ST.nc
2019-01-20,4.030639172,filled,ST.nc
2019-01-21,,filled,ST.nc
2019-01-22,,filled,ST.nc
2019-01-23,2.186526537,filled,ST.nc
2019-01-24,,filled,ST.nc
2019-01-25,,filled,ST.nc
2019-01-26,3.429619074,filled,ST.nc
2019-01-27,4.048952103,filled,ST.nc
2019-01-28,,filled,ST.nc
2019-01-29,3.849339008,filled,ST.nc
2019-01-30,5.262445927,filled,ST.nc
2019-01-31,4.710725307,filled,ST.nc
2019-02-01,3.682743073,filled,ST.nc
2019-02-02,3.12133956,filled,ST.nc
2019-02-03,3.417472601,filled,ST.nc
2019-02-04,3.239875793,filled,ST.nc
2019-02-05,5.995577812,filled,ST.nc
2019-02-06,5.37160778,filled,ST.nc
2019-02-07,4.904189587,filled,ST.nc
2019-02-08,2.923371315,filled,ST.nc
2019-02-09,2.721189499,filled,ST.nc
2019-02-10,2.856269836,filled,ST.nc
2019-02-11,3.253421068,filled,ST.nc
2019-02-12,3.871146917,filled,ST.nc
2019-02-13,,filled,ST.nc
2019-02-14,,filled,ST.nc
2019-02-15,3.293259382,filled,ST.nc
2019-02-16,,filled,ST.nc
2019-02-17,,filled,ST.nc
2019-02-18,3.541759491,filled,ST.nc
2019-02-19,5.375107288,filled,ST.nc
2019-02-20,3.579846621,filled,ST.nc
2019-02-21,,filled,ST.nc
2019-02-22,,filled,ST.nc
2019-02-23,1.986722112,filled,ST.nc
2019-02-24,1.876669526,filled,ST.nc
2019-02-25,4.975774288,filled,ST.nc
2019-02-26,,filled,ST.nc
2019-02-27,5.158341885,filled,ST.nc
2019-02-28,2.734273434,filled,ST.nc
2019-03-01,,filled,ST.nc
2019-03-02,8.577842712,filled,ST.nc
2019-03-03,3.487374544,filled,ST.nc
2019-03-04,,filled,ST.nc
2019-03-05,,filled,ST.nc
2019-03-06,,filled,ST.nc
2019-03-07,,filled,ST.nc
2019-03-08,,filled,ST.nc
2019-03-09,,filled,ST.nc
2019-03-10,1.768297553,filled,ST.nc
2019-03-11,3.152935028,filled,ST.nc
2019-03-12,5.400279999,filled,ST.nc
2019-03-13,5.312621593,filled,ST.nc
2019-03-14,3.35861659,filled,ST.nc
2019-03-15,3.126284599,filled,ST.nc
2019-03-16,,filled,ST.nc
2019-03-17,3.391393661,filled,ST.nc
2019-03-18,4.086236477,filled,ST.nc
2019-03-19,2.950713396,filled,ST.nc
2019-03-20,,filled,ST.nc
2019-03-21,,filled,ST.nc
2019-03-22,,filled,ST.nc
2019-03-23,4.297382355,filled,ST.nc
2019-03-24,3.388879061,filled,ST.nc
2019-03-25,6.812098026,filled,ST.nc
2019-03-26,5.319389343,filled,ST.nc
2019-03-27,6.455545902,filled,ST.nc
2019-03-28,5.061318398,filled,ST.nc
2019-03-29,2.982704163,filled,ST.nc
2019-03-30,2.459848404,filled,ST.nc
2019-03-31,,filled,ST.nc
2019-04-01,,filled,ST.nc
2019-04-02,,filled,ST.nc
2019-04-03,,filled,ST.nc
2019-04-04,,filled,ST.nc
2019-04-05,3.860848188,filled,ST.nc
2019-04-06,3.718143463,filled,ST.nc
2019-04-07,11.16501236,filled,ST.nc
2019-04-08,3.191117048,filled,ST.nc
2019-04-09,3.458289385,filled,ST.nc
2019-04-10,6.099273682,filled,ST.nc
2019-04-11,1.977217317,filled,ST.nc
2019-04-12,,filled,ST.nc
2019-04-13,10.28266621,filled,ST.nc
2019-04-14,,filled,ST.nc
2019-04-15,,filled,ST.nc
2019-04-16,,filled,ST.nc
2019-04-17,,filled,ST.nc
2019-04-18,3.678463936,filled,ST.nc
2019-04-19,,filled,ST.nc
2019-04-20,3.285636187,filled,ST.nc
2019-04-21,5.8248353,filled,ST.nc
2019-04-22,10.63605499,filled,ST.nc
2019-04-23,11.99681091,filled,ST.nc
2019-04-24,11.39104176,filled,ST.nc
2019-04-25,7.407104015,filled,ST.nc
2019-04-26,4.993130207,filled,ST.nc
