date,chlor_a,status,source_file
16/08/2018,,filled,ST.nc
17/08/2018,,filled,ST.nc
18/08/2018,1.971706986,filled,ST.nc
19/08/2018,5.474495411,filled,ST.nc
20/08/2018,,filled,ST.nc
21/08/2018,,filled,ST.nc
22/08/2018,3.691362143,filled,ST.nc
23/08/2018,2.444766998,filled,ST.nc
24/08/2018,,filled,ST.nc
25/08/2018,,filled,ST.nc
26/08/2018,1.454157829,filled,ST.nc
27/08/2018,4.375804424,filled,ST.nc
28/08/2018,,filled,ST.nc
29/08/2018,,filled,ST.nc
30/08/2018,2.323657036,filled,ST.nc
31/08/2018,,filled,ST.nc
1/09/2018,,filled,ST.nc
2/09/2018,2.186594009,filled,ST.nc
3/09/2018,1.731337547,filled,ST.nc
4/09/2018,,filled,ST.nc
5/09/2018,,filled,ST.nc
6/09/2018,1.211900592,filled,ST.nc
7/09/2018,,filled,ST.nc
8/09/2018,,filled,ST.nc
9/09/2018,,filled,ST.nc
10/09/2018,3.589249849,filled,ST.nc
11/09/2018,,filled,ST.nc
12/09/2018,,filled,ST.nc
13/09/2018,,filled,ST.nc
14/09/2018,,filled,ST.nc
15/09/2018,1.079499006,filled,ST.nc
16/09/2018,,filled,ST.nc
17/09/2018,,filled,ST.nc
18/09/2018,3.038148165,filled,ST.nc
19/09/2018,1.824380279,filled,ST.nc
20/09/2018,,filled,ST.nc
21/09/2018,,filled,ST.nc
22/09/2018,3.532319069,filled,ST.nc
23/09/2018,4.39449501,filled,ST.nc
24/09/2018,,filled,ST.nc
25/09/2018,,filled,ST.nc
26/09/2018,2.0267694,filled,ST.nc
27/09/2018,3.179238558,filled,ST.nc
28/09/2018,,filled,ST.nc
29/09/2018,,filled,ST.nc
30/09/2018,4.354083061,filled,ST.nc
1/10/2018,,filled,ST.nc
2/10/2018,,filled,ST.nc
3/10/2018,,filled,ST.nc
4/10/2018,2.015192032,filled,ST.nc
5/10/2018,,filled,ST.nc
6/10/2018,,filled,ST.nc
7/10/2018,2.060384035,filled,ST.nc
8/10/2018,2.47297287,filled,ST.nc
9/10/2018,,filled,ST.nc
10/10/2018,,filled,ST.nc
11/10/2018,,filled,ST.nc
12/10/2018,,filled,ST.nc
